               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.020612,           0.0050076,                   0,             0.94369,             0.96883,             0.97482,             0.71136,            0.021328,           0.0037546,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021236,           0.0049035,                   0,              0.9482,             0.97145,             0.97106,             0.70614,             0.02081,           0.0037445,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.020439,           0.0050945,                   0,             0.94682,              0.9722,             0.97323,             0.71731,            0.020659,           0.0036758,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.019382,            0.004955,                   0,             0.95572,             0.96375,             0.97181,             0.71867,            0.020254,           0.0036314,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02036,           0.0050437,                   0,             0.95768,             0.97136,             0.97691,             0.72453,            0.020243,           0.0036201,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.019448,           0.0047973,                   0,             0.95488,              0.9722,             0.97192,             0.71712,            0.019948,            0.003627,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.019666,           0.0046768,                   0,             0.95686,             0.97388,             0.97014,             0.71999,            0.020239,           0.0035559,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018674,           0.0047345,                   0,             0.96231,             0.96714,             0.97516,             0.72855,             0.01997,           0.0035444,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.019152,           0.0046858,                   0,             0.96001,             0.97082,             0.96912,             0.71629,            0.020382,           0.0036071,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.01862,           0.0047324,                   0,             0.96032,              0.9722,             0.97802,             0.73481,            0.019689,           0.0035522,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.019406,           0.0047056,                   0,             0.96305,             0.96614,             0.97705,             0.72942,            0.020127,           0.0035767,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.018427,           0.0047171,                   0,             0.96497,             0.96799,              0.9719,             0.73256,            0.019446,           0.0035254,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.018502,           0.0046422,                   0,              0.9594,             0.97641,             0.97751,              0.7317,            0.019573,           0.0035092,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.018418,           0.0047277,                   0,             0.96216,             0.96714,             0.97824,             0.73012,            0.019657,           0.0035638,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.018454,           0.0047794,                   0,              0.9647,             0.97136,             0.97962,             0.74688,            0.019046,           0.0034542,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.018682,           0.0047041,                   0,             0.95733,             0.97304,             0.97362,             0.73078,            0.019663,           0.0034968,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.017453,           0.0045732,                   0,             0.96004,             0.97149,             0.96809,             0.73097,            0.019223,           0.0034844,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017761,           0.0045113,                   0,              0.9626,             0.96967,             0.97378,             0.73886,            0.019106,           0.0034988,                   0,            0.004654,            0.004654,            0.004654
